,Mkt-RF,SMB,HML,RF
19280107,    0.11,   -0.01,    0.29,    0.01
19280109,   -0.89,    0.12,   -0.04,    0.01
19280110,   -0.83,   -0.47,    0.10,    0.01
19280111,    0.12,    0.38,    0.29,    0.01
19280112,    0.49,    0.20,   -0.11,    0.01
19280113,    0.60,    0.27,    0.12,    0.01
19280114,   -0.67,    0.02,   -0.01,    0.01
19280116,   -0.89,   -0.50,   -0.38,    0.01
19280117,    0.16,    0.31,    0.41,    0.01
19280118,   -0.30,   -0.34,   -0.13,    0.01
19280119,    0.57,    0.23,   -0.11,    0.01
19280120,    0.56,    0.14,   -0.06,    0.01
19280121,    0.21,    0.43,   -0.40,    0.01
19280123,    0.61,    0.16,   -0.08,    0.01
19280124,    0.27,    0.46,   -0.32,    0.01
19280125,   -1.04,   -0.31,   -0.34,    0.01
19280126,    0.52,    0.77,   -0.22,    0.01
19280127,    0.28,   -0.10,   -0.12,    0.01
19280128,   -0.49,    0.46,    0.16,    0.01
19280130,   -0.42,   -0.39,   -0.28,    0.01
19280131,    0.32,    0.60,    0.33,    0.01
19280201,   -0.25,    0.52,   -0.65,    0.01
19280202,    0.44,    0.13,    0.18,    0.01
19280203,   -1.14,   -0.47,   -0.44,    0.01
19280204,    0.05,   -0.45,    0.18,    0.01
19280206,    0.19,    0.33,    0.06,    0.01
19280207,   -0.27,   -0.26,   -0.67,    0.01
19280208,    0.08,   -0.03,   -0.20,    0.01
19280209,    0.46,   -0.12,   -0.12,    0.01
19280210,   -0.09,   -0.49,   -0.11,    0.01
19280211,   -0.02,    0.10,    0.54,    0.01
19280214,   -0.37,    0.58,   -0.42,    0.01
19280215,   -0.29,   -0.53,   -0.04,    0.01
19280216,   -0.32,   -0.62,    0.08,    0.01
19280217,   -1.66,   -0.69,   -0.57,    0.01
19280218,   -0.47,   -0.61,    0.14,    0.01
19280220,   -0.16,    0.17,    0.30,    0.01
19280221,    1.04,    0.41,    0.22,    0.01
19280223,    0.23,    0.08,   -0.13,    0.01
19280224,    0.34,   -0.31,    0.46,    0.01
19280225,    0.11,   -0.16,    0.73,    0.01
19280227,   -0.48,    0.05,   -0.27,    0.01
19280228,    0.36,    0.02,    0.38,    0.01
19280229,    0.56,    0.27,   -0.24,    0.01
19280301,    0.25,   -0.11,   -0.16,    0.01
19280302,    0.07,    0.02,   -0.69,    0.01
19280303,    0.49,   -0.01,   -0.62,    0.01
19280305,    0.66,   -0.09,    0.10,    0.01
19280306,    0.39,    0.25,   -0.15,    0.01
19280307,   -0.43,    0.22,   -0.09,    0.01
19280308,    0.41,   -0.03,    0.56,    0.01
19280309,    1.24,   -0.58,   -0.37,    0.01
19280310,   -0.27,   -0.38,   -0.08,    0.01
19280312,    0.41,   -0.18,   -0.05,    0.01
19280313,   -0.30,    0.04,   -0.05,    0.01
19280314,    0.12,   -0.02,    0.49,    0.01
19280315,    0.72,   -0.43,    0.23,    0.01
19280316,    0.97,   -0.57,    0.22,    0.01
19280317,    0.17,   -0.01,    0.51,    0.01
19280319,    0.13,    1.21,   -0.76,    0.01
19280320,    0.45,    0.38,   -0.20,    0.01
19280321,    0.85,    0.15,    0.48,    0.01
19280322,   -0.37,   -0.30,   -0.37,    0.01
19280323,    0.71,   -0.38,   -0.67,    0.01
19280324,    0.08,   -0.45,   -0.06,    0.01
19280326,    0.96,    0.09,   -0.27,    0.01
19280327,   -0.34,   -0.25,    1.09,    0.01
19280328,    0.02,    0.48,    0.02,    0.01
19280329,    0.15,    0.27,    0.41,    0.01
19280330,    1.50,   -0.07,   -0.70,    0.01
19280331,   -0.56,    0.44,    0.14,    0.01
19280402,   -0.87,    0.71,    0.51,    0.01
19280403,    0.60,    0.26,   -0.38,    0.01
19280404,   -0.07,    0.42,    0.13,    0.01
19280405,    1.13,   -0.26,    0.26,    0.01
19280409,    0.34,    0.98,    0.13,    0.01
19280410,   -0.73,    0.33,   -0.21,    0.01
19280411,    1.41,    0.02,    0.96,    0.01
19280412,   -0.24,    0.54,   -0.44,    0.01
